,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
900,1935.03.20,1935,3,,,Unprovoked,"Pearl diving, but standing in the water",Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,M,unknown,N,Tiger shark 3 m  [10'] ,tiger
901,1935.03.13,1935,3,,,Provoked,Hauling in net with shark in it,Queensland,Pimpana River,M,38,N,"""Blue nose shark""",bluenosed
902,1935.03.11,1935,3,,,Unprovoked,Surfing,New South Wales,Newcastle,M,unknown,N,unknown,
903,1935.03.09,1935,3,12.0,Midday,Unprovoked,Swimming,New South Wales,Maroubra Beach,M,27,Y,"White shark, 4 m [13'] ",white
904,1935.03.02,1935,3,17.0,Dusk,Unprovoked,Standing,New South Wales,North Narrabeen Beach,M,22,Y,"White shark, 3.5 m to 4 m [11.5' to 13'] ",white
905,1935.02.14,1935,2,17.0,Dusk,Unprovoked,Surfing (pneumatic surfboard),New South Wales,Austinmer,M,20,N,unknown,
906,1935.01.24.b,1935,1,,,Unprovoked,Fishing,New South Wales,"Off Ben Buckler, near Sydney",M,unknown,N,"Tiger shark, 12' ",tiger
907,1935.01.24.a,1935,1,,,Boating,Fishing for sharks,Queensland,"Ross River, Townsville",unknown,unknown,N,2 sharks,
908,1935.01.17,1935,1,,,unknown,unknown,Queensland,"Seaforth River, near MacKay",M,5,N,10' shark,
909,1934.12.31.b,1934,12,20.0,Night,Unprovoked,Splashing,New South Wales,Georgeï¿½s River at Kentucky,F,13,N,"Tiger shark, 1.5 m [5'] ",tiger
910,1934.12.31.a,1934,12,16.0,Late afternoon,Unprovoked,Swimming (lead swimmer in race),New South Wales," St. Georgeï¿½s River at Moorebank, near Milperra Bridge",M,19,Y,unknown,
911,1934.12.23.b,1934,12,13.0,Afternoon,Unprovoked,Taken as he dived into the water,New South Wales,Woy Woy  on the Brisbane Waters,M,14,Y,unknown,
912,1934.12.23.a,1934,10,13.0,Afternoon,Unprovoked,Swimming & splashing,New South Wales,Woy Woy on the Brisbane Waters,M,12,N,unknown,
913,1934.10.09,1934,10,,,Unprovoked,Bathing,Northern Territory,"Redcliff, Cobourg Peninsula",F,38,Y,unknown,
914,1934.10.02,1934,10,,,Unprovoked,Freediving for trochus shell (submerged),Torres Strait,Warrior Reefs,M,unknown,Y,unknown,
915,1934.08.26,1934,8,,,Unprovoked,Dived into sea from launch & bitten immediately,Queensland,Off Eva Island 20 miles from Cardwell,M,unknown,Y,unknown,
916,1934.07.11,1934,7,,,Boating,Fishing,New South Wales,Cronulla,unknown,unknown,N,"Blue pointer, 11' ",mako
917,1934.06.21,1934,6,21.0,Night,Provoked,Fishing,New South Wales,Off Mooloolabah,M,unknown,N,"A 6.5' ""blue-nosed shark""",bluenosed
918,1934.04.15,1934,4,9.0,Morning,Unprovoked,Body surfing,Queensland,"Elephant Rock, Currumbin near Southport",M,34,N,unknown,
919,1934.04.01.a,1934,4,12.0,Midday,Unprovoked,Swimming in waist-deep water ,New South Wales,North Steyne,M,15,Y,4.3 m [14'] shark seen in vicinity,
920,1934.03.12,1934,3,15.0,Late afternoon,Unprovoked,Swimming in hip-deep water,New South Wales,"Dee Why, north of Queenscliff ",M,17,Y,4 m [13'] shark seen in vicinity,
921,1934.03.00,1934,3,,,Provoked,Fishing ,New South Wales,Cronulla,unknown,unknown,N,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley",mako
922,1934.02.24,1934,2,12.0,Midday,Unprovoked,Splashing in water ,Torres Strait,Adolphus Channel,M,unknown,N,3.4 m [11']  tiger shark & a 5' shark,tiger
923,1934.01.27,1934,1,,,Unprovoked,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,New South Wales,"Lambeth Street Wharf, Georgeï¿½s River, East Hills (20 miles from river mouth)",M,15,N,unknown,
924,1934.01.07,1934,1,15.0,Late afternoon,Unprovoked,Swimming on sandbar adjacent to channel,New South Wales,Queenscliff,M,22,N,4.3 m [14'] shark seen in area previous week,
925,1933.11.20,1933,11,,,Unprovoked,Free diving for trochus ,Torres Strait,Near Boydong Cay,M,unknown,Y,"Tiger shark, 3.4 m [11'] ",tiger
926,1933.11.18,1933,11,,,Unprovoked,Pearl diving,Queensland,Near Barrow Point,M,17,N,Tiger shark,tiger
927,1933.10.25.R,1933,10,,,Unprovoked,Diving,Queensland,Off Bloomfield River,M,unknown,N,unknown,
928,1933.07.03,1933,7,,,Unprovoked,Pearl diving,Western Australia,Broome,M,unknown,N,unknown,
929,1933.06.13,1933,6,,,unknown,Fishing,Northern Territory,Darwin,M,unknown,N,unknown,
930,1933.05.23,1933,5,,,Provoked,Fishing,Queensland,Off Stradbroke Island,M,unknown,N,7' to 8' shark,
931,1933.06.08.R,1933,6,,,Unprovoked,Treading water,Queensland,Currumbin,M,unknown,N,unknown,
932,1933.02.26,1933,2,,,Unprovoked,Standing on his hands,New South Wales,Sydney,M,unknown,N,10' shark,
933,1933.02.15.R,1933,2,,,Unprovoked,Diving for trochus  from dinghy when seized by shark 6' below the surface,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",M,unknown,N,4.4 m [14'] shark,
934,1933.02.14,1933,2,,,Boating,unknown,South Australia,Adelaide,unknown,unknown,N,unknown,
935,1933.02.12,1933,2,,,Provoked,Fishing,South Australia,"Port River, Adelaide",M,unknown,N,Blue shark,blue
936,1933.01.04,1933,1,17.0,Dusk,Unprovoked,Swimming,Queensland,"Strand Beach, Kissing Point, Townsville",M,38,Y,unknown,
937,1932.12.11.R,1932,12,,,Unprovoked,unknown,Northern Territory,Arnhem Land,M,unknown,N,unknown,
938,1932.10.31,1932,10,11.0,Midday,Unprovoked,Swimming,New South Wales,"Redhead Beach, Newcastle",M,24,N,Thought to involve a mako or grey nurse shark,nurse
939,1932.08.30.b,1932,8,,,Provoked,unknown,New South Wales,Bondi,M,unknown,N,unknown,
940,1932.08.30.a,1932,8,,,Provoked,unknown,New South Wales,Newcastle,M,unknown,N,unknown,
941,1932.08.09,1932,8,,,Unprovoked,Pearl diving,Torres Strait,unknown,M,unknown,N,unknown,
942,1932.05.12,1932,5,,,Unprovoked,Pearl diving,Torres Strait,Near Warrior Reefs,M,unknown,Y,unknown,
943,1932.05.00,1932,5,,,Unprovoked,Pearl diving,Torres Strait,Thursday Island,M,unknown,N,unknown,
944,1932.02.13,1932,2,,,Unprovoked,Fishing with dynamite,Queensland,Calliope River,M,unknown,N,unknown,
945,1932.01.27,1932,1,14.0,Afternoon,Unprovoked,Swimming,Queensland,Ipswich,M,unknown,N,A small shark,small
946,1932.01.11,1932,1,,,Boating,Fishing,Victoria,Frankston,unknown,unknown,unknown,Grey nurse shark,nurse
947,1931.11.26,1931,11,,,Unprovoked,Diving for trochus from lugger,Torres Strait,Barrier Reef near Innisfail,M,45,N,4 m [13'] shark,
948,1931.08.01,1931,8,,,Unprovoked,Fell overboard?,Queensland,Port Douglas,M,unknown,Y,unknown,
949,1931.05.02,1931,5,,,Boating,unknown,New South Wales,Kempsey,unknown,unknown,N,"""a school of sharks""",
950,1931.03.22,1931,3,,,Unprovoked,Fishing with a cast net,Queensland,"Ross River, Townsville",M,19,Y,unknown,
951,1931.03.06,1931,3,,,Provoked,"Fishing, hauling in net, shark in net",South Australia,Encounter Bay,M,unknown,N,"1.8 m [6'] ""cocktail shark",
952,1931.02.10,1931,2,4.0,Dawn,unknown,Swimming ,New South Wales,Maroubra Beach,M,39,Y,unknown,
953,1931.01.24,1931,1,,,Unprovoked,unknown,Torres Strait,Near Thursday Island,M,unknown,N,unknown,
954,1931.01.14,1931,1,,,Unprovoked,Pearl diving,Torres Strait,unknown,M,unknown,N,unknown,
955,1931.01.07,1931,1,16.0,Late afternoon,Unprovoked,Swimming,Queensland,"Yeppoon, near Ross Creek",M,18,N,1.5 m [5'] shark,
956,1930.12.25,1930,12,14.0,Afternoon,Unprovoked,Swimming,New South Wales,"Homebush Bay, Parramatta River, Sydney",M,49,N,unknown,
957,1930.12.13,1930,12,,,Unprovoked,Fell overboard,New South Wales,"Sailor Bay, Middle Harbour, Sydney",M,unknown,Y,unknown,
958,1930.12.02,1930,12,,,Boating,Fishing,Victoria,Rosebud,unknown,unknown,N,7 shark's teeth found embedded in the woodwork of the boat,
959,1930.12.00,1930,12,,,Unprovoked,unknown,New South Wales,Parramata River,M,unknown,Y,unknown,
960,1930.11.30,1930,11,,,Unprovoked,Thrown into water from fishing dinghy,Queensland,"St. Helena Island, Moreton Bay",M,unknown,N,unknown,
961,1930.08.31,1930,8,15.0,Late afternoon,Unprovoked,Fishing,Western Australia,Geraldton,M,17,N,unknown,
962,1930.06.04,1930,6,,,Unprovoked,unknown,Torres Strait,Near Mabuiag Island,M,unknown,Y,unknown,
963,1930.02.20,1930,2,,,Unprovoked,Pearl diving,Torres Strait,unknown,M,19,N,unknown,
964,1930.02.15,1930,2,16.0,Late afternoon,Unprovoked,Diving off pier & treading water,Victoria,"Middle Brighton, Port Phillip",M,18,Y,White shark 4.9 m [16'] ,white
965,1930.02.03.R,1930,2,,,Provoked,Removing shark from a trap,Western Australia,Onslow,M,unknown,N,unknown,
966,1929.12.26,1929,12,,,Unprovoked,Diving by wharf,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",M,16,Y,Tiger shark,tiger
967,1929.12.21,1929,12,,,Unprovoked,Diving,Torres Strait,Thursday Island,M,unknown,N,unknown,
968,1929.12.16,1929,12,,,Unprovoked,Bathing or body surfing ,New South Wales,Collaroy,F,17,N,"""a small shark""",small
969,1929.12.13,1929,12,,,Unprovoked,Pearl diving,Torres Strait,Thursday Island,M,unknown,N,unknown,
970,1929.12.03.R,1929,12,,,Unprovoked,unknown,Queensland,Townsville,M,50,Y,unknown,
971,1929.10.20,1929,10,,,Unprovoked,Pearl diving,Torres Strait,Near Badu Island,M,unknown,N,unknown,
972,1929.09.01,1929,9,,,Unprovoked,Fell from wharf into water & attacked immediately,Queensland,"Ross River, Townsville",M,42,Y,unknown,
973,1929.05.31,1929,5,,,Unprovoked,Pearl diving,Torres Strait,unknown,M,unknown,N,unknown,
974,1929.04.26.R,1929,4,,,Unprovoked,Diving for trepang,Queensland,Great Barrier Reef,M,unknown,N,unknown,
975,1929.04.17.R,1929,4,,,Unprovoked,Diving for trochus,Queensland,Great Barrier Reef,M,unknown,N,unknown,
976,1929.04.11,1929,4,13.0,Afternoon,Provoked,Standing in knee-deep water,Queensland,"Bribie Passage, Caloundra",M,19,N,"Grey nurse shark, 4' ",nurse
977,1929.04.09,1929,4,,,Unprovoked,unknown,Torres Strait,Badu Island,M,unknown,Y,unknown,
978,1929.04.04,1929,4,,,Unprovoked,Swimming between boats,Torres Strait,Badu Island,M,unknown,Y,unknown,
979,1929.03.12,1929,3,,,Unprovoked,Bathing,Torres Strait,Near Dauan Island,M,unknown,Y,unknown,
980,1929.03.04.b,1929,3,,,Unprovoked,Launching rowboat through the surf,South Australia,Ardrossan,M,9,N,"""a dog shark""",dog
981,1929.03.04.a,1929,3,,,Unprovoked,Launching rowboat through the surf,South Australia,Ardrossan,M,12,N,"""a dog shark""",dog
982,1929.02.18,1929,2,15.0,Late afternoon,Unprovoked,Body surfing,New South Wales,Maroubra Bay,M,20,Y,unknown,
983,1929.02.09,1929,2,,,Boating,Canoeing,Western Australia,Glenelg,unknown,unknown,N,"Blue pointer, 12'",mako
984,1929.02.08,1929,2,16.0,Late afternoon,Unprovoked,Swimming,New South Wales,Bondi,M,39,Y,Galapagos shark,galapagos
985,1929.01.27,1929,1,17.0,Dusk,Unprovoked,Swimming,Queensland,"Alma Bay, Magnetic Island, Townsville",M,unknown,Y,unknown,
986,1929.01.12,1929,1,18.0,Nightfall,Unprovoked,Body surfing,New South Wales,Bondi,M,14,Y,12' shark,
987,1929.00.00.e.R,1929,4,,,unknown,Swimming,New South Wales,Sydney Harbor,M,unknown,N,unknown,
988,1929.00.00.b,1929,4,,,Unprovoked,unknown,New South Wales,"Garden Island, Sydney",M,unknown,N,unknown,
989,1928.04.14.R,1928,4,,,Unprovoked,Fishing,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",M,unknown,N,Tiger shark,tiger
990,1928.04.14,1928,4,16.0,Late afternoon,Unprovoked,Treading water,New South Wales,Bondi,M,19,N,unknown,
991,1928.04.06,1928,4,8.0,Morning,Unprovoked,Bathing,Queensland,Graceville,M,15,N,4' shark,
992,1928.04.04,1928,4,18.0,Nightfall,Unprovoked,Standing in waist-deep water,New South Wales,"Cooks Hill, Newcastle",M,28,Y,unknown,
993,1928.03.28.R,1928,3,,,Unprovoked,unknown,Queensland,unknown,M,unknown,N,unknown,
994,1928.02.20,1928,2,,,Unprovoked,Pearl diving,Torres Strait,"Near Barrow Point, Queensland",M,unknown,Y,unknown,
995,1928.01.27,1928,1,,,Unprovoked,Retrieving meat from a cage in the water,Torres Strait,Deliverance Island,M,78,Y,unknown,
996,1927.11.03,1927,11,,,Sea Disaster,The steamer Tahiti collided with the ferry Greycliffe,New South Wales,"Bradleys Head, Sydney ",unknown,unknown,Y,unknown,
997,1927.10.12,1927,10,,,Unprovoked,Riding horseback across the creek,New South Wales,"Kiah Creek, Eden",M,unknown,N,unknown,
998,1927.07.03,1927,7,,,Boating,unknown,New South Wales,Bellambi Reef,unknown,unknown,N,unknown,
999,1927.05.09.R,1927,5,,,Unprovoked,Walking,Queensland,Off Cairns,M,unknown,Y,unknown,
1000,1927.04.10,1927,4,,,Unprovoked,Diving,Torres Strait,Near Thursday Island,M,unknown,N,unknown,
1001,1927.04.08,1927,4,,,Unprovoked,Pearl diving,Queensland,Near Thursday Island,M,unknown,N,unknown,
1002,1927.03.01,1927,3,15.0,Late afternoon,Unprovoked,Body surfing / treading water,New South Wales,Mereweather Beach,M,17,N,Grey nurse shark?,nurse
1003,1927.02.09,1927,2,,,Unprovoked,Attempting to rescue drowning man,Queensland,Brisbane River,M,unknown,N,unknown,
1004,1927.01.03,1927,1,11.0,Midday,Unprovoked,Swimming,New South Wales,"Greyï¿½s Point, Port Hacking",M,15,Y,3.7 m [12'] shark,
1005,1927.00.00.b,1927,4,,,Unprovoked,Swimming,New South Wales,15 miles up the Cataract River,M,10,Y,unknown,
1006,1927.00.00.a,1927,4,,,Unprovoked,Pearl diving,Torres Strait,Thursday Island,M,unknown,N,unknown,
1007,1926.12.02.R,1926,12,,,Unprovoked,Diving for trochus,Torres Strait,Palm Island,M,unknown,Y,unknown,
1008,1926.11.17,1926,11,,,Unprovoked,Diving,Torres Strait,Near Thursday Island,M,unknown,N,unknown,
1009,1926.10.23.b,1926,10,14.0,Afternoon,Unprovoked,Bathing,New South Wales,Clarence River,M,17,N,"Grey nurse shark, 4'",nurse
1010,1926.03.17,1926,3,15.0,Late afternoon,Unprovoked,Swimming ,South Australia,"West Beach, Brighton",F,unknown,Y,"White shark, 3.7 m [12']  ",white
1011,1926.01.00,1926,1,,,Unprovoked,unknown,Victoria,unknown,M,unknown,N,unknown,
1012,1925.11.22,1925,11,15.0,Late afternoon,Unprovoked,Floating on his back,Western Australia,Cottesloe Beach,M,55,Y,"Tiger shark, 4 m [13'] female",tiger
1013,1925.06.15,1925,6,,,unknown,unknown,Western Australia,"Princess Royal Harbor, near King Georgeï¿½s Sound",unknown,unknown,unknown,unknown,
1014,1925.03.27,1925,3,17.0,Dusk,Unprovoked,Bathing in waist-deep water,New South Wales,Coogee,M,16,N,Said to be a ï¿½small sharkï¿½,
1015,1925.03.12,1925,3,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,Newcastle Beach,M,16,Y,unknown,
1016,1924.10.18,1924,10,,,Unprovoked,Bathing,Victoria,Port Melbourne,M,unknown,N,10' shark,
1017,1924.04.25,1924,4,14.0,Afternoon,Unprovoked,"Fishing, fell in water & swimming strongly to shore",New South Wales,Kiama,M,20,Y,unknown,
1018,1924.04.20,1924,4,,,unknown,Swimming ,Western Australia,Fremantle,M,unknown,N,unknown,
1019,1924.02.13,1924,2,19.0,Evening,Unprovoked,Bathing in 5' of water,New South Wales,Bronte,F,30,N,unknown,
1020,1924.02.08,1924,2,16.0,Late afternoon,unknown,Bathing,Queensland,Currumbin,M,unknown,unknown,unknown,
1021,1924.01.19,1924,1,16.0,Late afternoon,Unprovoked,Had just dived into water & was swimming,New South Wales,"Near Asbestos Works, Camellia, Parramatta River",M,16,Y,3 m [10'] shark,
1022,1923.12.12,1923,12,,,Unprovoked,Swimming,New South Wales,"Murwillumbah, Tweed River",M,unknown,N,unknown,
1023,1923.12.02,1923,12,,,Unprovoked,"Fishing, standing in waist-deep water",New South Wales,"Urunga, Belliger Heads",M,unknown,Y,unknown,
1024,1923.11.23,1923,11,,,Unprovoked,Dry shelling,Western Australia,"Condon, 88 km NE of Port Hedland",M,unknown,Y,unknown,
1025,1923.11.02,1923,11,,,unknown,Fishing,New South Wales,Bellinger Head,M,unknown,Y,Shark involvement suspected but not confirmed,
1026,1923.10.20,1923,10,,,unknown,Sailing,New South Wales,"Botany Bay, Sydney",M,unknown,Y,unknown,
1027,1923.10.17,1923,10,,,Boating,Fishing,New South Wales," Black Head, south of Taree",unknown,unknown,N,"""a very large shark""",large
1028,1923.10.16,1923,10,,,Unprovoked,Pearl diving,Torres Strait,Near Thursday Island,M,unknown,N,unknown,
1029,1923.07.02.R,1923,7,,,Unprovoked,Diving for pearl,Queensland,Great Barrier Reef,M,unknown,N,unknown,
1030,1923.06.16,1923,6,,,Boating,"After rowing skiff was holed by shark, he was attempting to swim ashore",New South Wales,Bellambi Reef,M,unknown,Y,unknown,
1031,1923.05.23.R,1923,5,,,Unprovoked,Wading,Western Australia,"Southgates, near Geraldton",M,unknown,N,unknown,
1032,1923.05.22,1923,5,12.0,Midday,Unprovoked,Diving?,Queensland,Great Barrier Reef,M,unknown,Y,unknown,
1033,1923.03.18,1923,3,,,Unprovoked,Diving,Queensland,"Ross River, Townsville",M,unknown,N,unknown,
1034,1923.01.27.b,1923,1,,,unknown,unknown,Western Australia,Bunbury,M,unknown,unknown,Shark involvement prior to death was not confirmed,
1035,1923.01.27.a,1923,1,,,Unprovoked,Swimming,Western Australia,"In Swan River at Freshwater Bay, Claremont, 5 miles from river mouth",M,13,Y,unknown,
1036,1922.12.05,1922,12,9.0,Morning,Unprovoked,Bathing in 3' to 4' of water,Queensland,Pialba Beach near Maryborough,M,19,Y,"2.7 m [9'] ""blue"" shark",
1037,1922.10.29,1922,10,,,unknown,Sailing,New South Wales,"Botany Bay, Sydney",M,unknown,unknown,unknown,
1038,1922.04.26,1922,4,,,Unprovoked,Swimming,New South Wales,Hawkesbury River,M,unknown,Y,unknown,
1039,1922.03.02,1922,3,11.0,Midday,Unprovoked,Bathing in knee-deep water,New South Wales,Coogee,M,21,Y,"White shark, 2.4 m [8'] ",white
1040,1922.02.22.R,1922,2,,,unknown,Swimming,New South Wales,"Bilgola Beach, Sydney",M,unknown,Y,unknown,
1041,1922.02.04,1922,2,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,Coogee ,M,18,Y,White shark,white
1042,1922.01.15,1922,1,17.0,Dusk,Unprovoked,Swimming ,Queensland,"Ross River, Townsville",M,54,Y,unknown,
1043,1922.01.13,1922,1,18.0,Nightfall,Unprovoked,Standing,New South Wales,"Stockton Beach, Newcastle",M,unknown,N,Grey nurse shark?,nurse
1044,1922.01.04,1922,1,19.0,Evening,Unprovoked,Surfing,New South Wales,"Stockton Beach, Newcastle",M,26,Y,unknown,
1045,1921.12.11,1921,12,,,Unprovoked,Swimming,Queensland,Fitzroy River at  Rockhampton,M,20,N,unknown,
1046,1921.11.27.b,1921,11,8.0,Morning,Unprovoked,Fell from his father's back into the water,Queensland,"Gayï¿½s Corner, Bulimba Reach of Brisbane River",M,8,Y,unknown,
1047,1921.11.27.a,1921,11,8.0,Morning,Unprovoked,"Wading to dinghy, carrying his son",Queensland,"Gayï¿½s Corner, Bulimba Reach of Brisbane River",M,40,N,unknown,
1048,1921.10.12,1921,10,,,Unprovoked,Diving for beche-de-mer ,Queensland,Off Hinchinbrook Island,M,unknown,N,unknown,
1049,1921.10.04,1921,10,14.0,Afternoon,Unprovoked,Diving for beche-de-mer,Queensland,Barrier Reef,M,22,Y,unknown,
1050,1921.08.29.R,1921,8,,,Unprovoked,unknown,Torres Strait,unknown,M,unknown,N,unknown,
1051,1920.11.29,1920,11,,,Unprovoked,Wading,Western Australia,Bunbury,M,unknown,N,4' to 5' shark,
1052,1920.11.22,1920,11,,,Unprovoked,Standing,Western Australia,Cottesloe Beach,M,unknown,N,"15* to 24"" dog shark",dog
1053,1920.07.05.R,1920,7,,,Unprovoked,Diving for trochus shell,Torres Strait,200 miles from MacKay,M,unknown,N,unknown,
1054,1920.03.08,1920,3,,,Unprovoked,"Boat capsized, swimming to shore",Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay",M,20,N,unknown,
1055,1920.01.24.R.b,1920,1,,,Unprovoked,Diving,Torres Strait,unknown,M,unknown,N,unknown,
1056,1920.01.24.R.a,1920,1,,,Unprovoked,Free diving,Torres Strait,Arlington Reef,M,unknown,Y,unknown,
1057,1920.01.15,1920,1,10.0,Morning,Unprovoked,Swimming ,New South Wales,"Throsby Creek, Newcastle",M,12,Y,unknown,
1058,1919.12.30.R,1919,12,,,Unprovoked,Swimming,Queensland,Brible Island,M,29,N,unknown,
1059,1919.12.07,1919,12,5.0,Dawn,Unprovoked,Swimming,New South Wales,"Pelican Island, Macleay River",M,47,Y,unknown,
1060,1919.11.18,1919,11,,,Unprovoked,Sitting in a boat,Northern Territory,Darwin,M,unknown,N,unknown,
1061,1919.03.16,1919,3,16.0,Late afternoon,unknown,Cutter capsized,New South Wales,Sydney Harbor,M,unknown,unknown,unknown,
1062,1919.01.17,1919,1,17.0,Dusk,Unprovoked,Swimming,New South Wales,Newcastle Beach,M,unknown,N,3.7 m to 4.3 m [12' to 14']  shark,
1063,1919.01.09,1919,1,7.0,Early morning,Unprovoked,Wading,New South Wales,"Sirius Cove, Sydney Harbor",M,13,Y,12' shark,
1064,1919.01.05,1919,1,10.0,Morning,Unprovoked,Wading (shrimping),Queensland,"Ross River, Townsville",M,38,Y,unknown,
1065,1918.09.19,1918,9,,,Unprovoked,Bathing,Queensland,Townsville,M,22,Y,unknown,
1066,1918.03.22,1918,3,18.0,Nightfall,Unprovoked,Surfing,New South Wales,Newcastle,M,unknown,N,12' shark,
1067,1918.00.00,1918,4,,,Unprovoked,Diving,Queensland,Near Cairns,M,unknown,N,unknown,
1068,1917.12.15,1917,12,5.0,Dawn,Unprovoked,Swimming,Western Australia,Port Hedland,M,unknown,N,unknown,
1069,1916.12.30,1916,12,7.0,Early morning,Unprovoked,Bathing,Queensland,"Yeppoon, near Ross Creek",M,25,N,unknown,
1070,1916.12.08.b,1916,12,9.0,Morning,Unprovoked,Taking wife to beach & about 1 m from the shore,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",M,41,Y,unknown,
1071,1916.12.08.a,1916,12,8.0,Morning,Unprovoked,Swimming 10 m from shore,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",F,unknown,N,unknown,
1072,1916.11.10,1916,11,6.0,Early morning,Unprovoked,Swimming,Queensland,Townsville,M,unknown,Y,unknown,
1073,1916.11.09,1916,11,19.0,Evening,Unprovoked,Bathing,Queensland,"Kissing Point Camp, Townsville",M,27,Y,unknown,
1074,1916.04.25.R,1916,4,,,Unprovoked,Swimming,New South Wales,Manley Beach,M,unknown,Y,unknown,
1075,1916.04.03,1916,4,,,Unprovoked,Clinging to overturned rowing boat,Victoria,Carrum,M,17,Y,unknown,
1076,1916.03.19,1916,3,15.0,Late afternoon,Unprovoked,Bathing,New South Wales,Curl Curl,M,unknown,N,unknown,
1077,1915.12.09.R,1915,12,,,Unprovoked,Diving,Torres Strait, Thursday Island,M,unknown,N,unknown,
1078,1915.11.10,1915,11,,,Unprovoked,Bathing,Queensland,"Cabbage Tree Creek, Sandgate",M,10,N,unknown,
1079,1915.11.08,1915,11,,,Unprovoked,Bathing,New South Wales,Manly,M,unknown,N,unknown,
1080,1915.03.29,1915,3,,,Unprovoked,Skin diving for trepang but at surface next to the boat,Torres Strait,Near Thursday Island,M,unknown,N,3 m [10'] shark,
1081,1915.02.06,1915,2,,,Unprovoked,Swimming,Queensland,Wynnum-Manley,M,unknown,N,unknown,
1082,1915.01.01,1915,1,,,Unprovoked,Bathing,New South Wales,"Sirius Cove, Sydney Harbor",M,17,Y,unknown,
1083,1914.12.04.R,1914,12,,,Unprovoked,Swimming,Queensland,Magnetic Island,M,unknown,N,unknown,
1084,1914.06.10,1914,6,14.0,Afternoon,Unprovoked,Bathing,Victoria,Sandringham,M,43,Y,unknown,
1085,1914.02.09.R,1914,2,,,Unprovoked,Wading,South Australia,Marion Bay,M,unknown,N,said to involve a tiger shark,tiger
1086,1914.02.03,1914,2,,,Unprovoked,Canoeing,New South Wales,Paramatta River,M,unknown,N,unknown,
1087,1914.01.17.R,1914,1,,,Unprovoked,Wading,Queensland,Brisbane,F,unknown,N,unknown,
1088,1913.11.21,1913,11,,,Unprovoked,Swimming,Queensland,"Sandgate Jetty, Brisbane",M,12,N,unknown,
1089,1913.05.02,1913,5,,,Provoked,Hauling in net,New South Wales,unknown,M,unknown,N,unknown,
1090,1913.01.00,1913,1,,,Unprovoked,Diving,Torres Strait,Thursday Island,M,unknown,N,Tiger shark ,tiger
1091,1913.00.00.a,1913,3,,,Unprovoked,unknown,Victoria,Brighton,M,unknown,N,unknown,
1092,1912.02.22,1912,2,,,Provoked,Hard hat diving,Western Australia,Bunbury,M,unknown,N,unknown,
1093,1912.02.19,1912,2,16.0,Late afternoon,Unprovoked,Swimming,New South Wales,Coogee,M,18,N,unknown,
1094,1912.01.26,1912,1,15.0,Late afternoon,Unprovoked,Swimming,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney ",M,21,Y,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut",whaler
1095,1912.01.06,1912,1,,,Unprovoked,unknown,New South Wales,Sydney Harbor,M,unknown,N,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel",
1096,1912.01.01,1912,1,8.0,Morning,Unprovoked,Bathing,Queensland,Ross Creek,M,unknown,Y,unknown,
1097,1911.10.25,1911,10,19.0,Evening,Unprovoked,Diving,Queensland,Great Barrier Reef,M,23,N,unknown,
1098,1911.03.29.R,1911,3,,,Unprovoked,Swimming,Torres Strait,Thursday Island,M,unknown,Y,unknown,
1099,1911.01.04,1911,1,,,Sea Disaster,3-masted steel barque Glenbank foundered during a cyclone,Western Australia,Off Legendre Island,M,22,N,unknown,
1100,1910.12.23.R,1910,12,,,Sea Disaster,Shipwrecked pearling schooner,Western Australia,Fremantle,M,unknown,Y,unknown,
1101,1910.11.24,1910,11,,,Unprovoked,Bathing,Queensland,Mackay,M,unknown,N,Said to involve  9' blue shark,blue
1102,1910.02.16,1910,2,21.0,Night,Unprovoked,Surf bathing,Western Australia,Bunbury,M,unknown,N,5.5' to 6' shark,
1103,1910.01.26,1910,1,,,Unprovoked,unknown,New South Wales,Newcastle Harbor,M,unknown,Y,unknown,
1104,1909.12.15.R,1909,12,,,Unprovoked,Fell overboard,New South Wales,20 miles off Sydney,M,unknown,Y,unknown,
1105,1909.12.05,1909,12,,,Provoked,Fishing,New South Wales,Bondi,M,unknown,N,7' shark,
