,Case,Year,Month,time_hr,time_cat,Type,Activity,Area,Location,Sex,Age,Fatal,Species,Species_Extracted
283,2005.04.16.b,2005,4,,,Unprovoked,Spearfishing,Northern Territory,Bremer Island,M,20,N,2 m [6.75'] copper shark,copper
284,2005.04.16.a,2005,4,6.0,Early morning,Unprovoked,Surfing,New South Wales,Bronte Beach,M,40,N,Bronze whaler shark,whaler
285,2005.03.27.R,2005,3,,,Unprovoked,Surfing,New South Wales,unknown,M,unknown,N,unknown,
286,2005.03.19,2005,3,14.0,Afternoon,Unprovoked,Snorkeling,Western Australia,"Wreck Point, Abrolhos Islands",M,26,Y,6 m [20'] white shark,white
287,2005.02.26,2005,2,,,Unprovoked,Swimming,Queensland,Brisbane River,M,18,N,Bull shark,bull
288,2005.01.19,2005,1,,,Provoked,Spearfishing,Victoria,Port Phillip Bay,M,unknown,N,3 m shark,
289,2005.01.14,2005,1,14.0,Afternoon,Provoked,Attempting to drive shark away from sailing regatta,Victoria,Blairgowrie,unknown,unknown,N,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  ",whaler
290,2004.12.16,2004,12,15.0,Late afternoon,Unprovoked,Scurfing (surfboard being  towed behind a boat),South Australia,"West Beach, Adelaide",M,18,Y,4.5 m & 5 m white shark ,white
291,2004.12.11,2004,12,13.0,Afternoon,Unprovoked,Spearfishing,Queensland,Opal Reef,M,38,Y,Bull shark,bull
292,2004.10.21,2004,10,14.0,Afternoon,Unprovoked,Surfing,New South Wales,Stockton Beach,M,59,N,"Bronze whaler shark, 2.4 m [8'] ",whaler
293,2004.09.25,2004,9,12.0,Midday,Boat,Spearfishing/ filming,Queensland,Batt Reef,unknown,unknown,N,"Tiger shark, 3 m [10'] ",tiger
294,2004.08.03,2004,8,14.0,Afternoon,Unprovoked,Spearfishing,New South Wales,Byron Bay,M,30,N,unknown,
295,2004.07.19.R,2004,7,,,Boat,Fishing,Western Australia,"7 km off Trigg surf beach, Perth",unknown,unknown,N,4 m [13'] white shark,white
296,2004.07.10,2004,7,14.0,Afternoon,Unprovoked,Surfing,Western Australia,"Lefthanders Beach, Margaret River",M,30,Y,"2 sharks, 4.5 m & 3 m ",
297,2004.06.26.a,2004,6,,,unknown,Crayfishing,Western Australia,Floreat Beach,M,unknown,N,unknown,
298,2004.06.10.b,2004,6,16.0,Late afternoon,Unprovoked,Body boarding,Western Australia,Bunbury,M,17,N,"Bronze whaler shark, 2.5 m [8.25'] ",whaler
299,2004.04.26,2004,4,8.0,Morning,Unprovoked,Diving,New South Wales,"Latitude Reef, near Forster",M,unknown,N,"Wobbegong shark, 1.2 m [4'] k",wobbegong
300,2004.03.06,2004,3,,,Unprovoked,Spearfishing,Western Australia,5 nm off Cervantes,M,47,N,"Bronze whaler shark, 1.5 m [5'] ",whaler
301,2004.02.21,2004,2,,,Unprovoked,Swimming,New South Wales,"Taree, Old Bar Beach",M,unknown,N,unknown,
302,2004.02.16,2004,2,11.0,Midday,unknown,Free diving & spearfishing,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",M,31,N,Shark involvement not confirmed,
303,2004.02.11,2004,2,,,Unprovoked,Snorkeling,New South Wales,Caves Beach,M,22,N,"60 cm [23.6""] blind or brown shark",brown
304,2004.01.25,2004,1,11.0,Midday,Unprovoked,Scuba diving,Western Australia,Binningup,M,46,N,4 m to 5 m [13' to 16.5'] white shark,white
305,2004.01.12,2004,1,12.0,Midday,Unprovoked,Diving,New South Wales,Bushrangers Pass at Bass Point,M,unknown,N,"Raggedtooth shark, 3.5 m [11.5'] ",raggedtooth
306,2004.00.00,2004,6,8.0,Morning,Unprovoked,Surfing,Western Australia,Redgate Beach,M,unknown,N,unknown,
307,2003.12.08,2003,12,9.0,Morning,Unprovoked,Surfing amid a shoal of sharks,Victoria,Collendina Beach east of Ocean Grove,M,36,N,unknown,
308,2003.11.30.b,2003,11,11.0,Midday,Unprovoked,Swimming,Western Australia,Perth? (Margaret River District),M,unknown,N,"Wobbegong shark, 1.2 m [4'] ",wobbegong
309,2003.11.30.a,2003,11,11.0,Midday,Unprovoked,Swimming,Western Australia,Perth? (Margaret River District),M,unknown,N,"Wobbegong shark, 1.2 m [4'] ",wobbegong
310,2003.11.01,2003,11,17.0,Dusk,Unprovoked,Standing,New South Wales,"Seal Rocks, north of Newcastle",M,unknown,N,unknown,
311,2003.10.31.b,2003,10,17.0,Dusk,Unprovoked,Surfing,New South Wales,"Lighthouse Beach, Seal Rocks",M,22,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",
312,2003.07.26.R,2003,7,,,Unprovoked,Surf skiing,Northern Territory,Nhulunbuy,M,37,N,unknown,
313,2003.02.15.b,2003,2,17.0,Dusk,Unprovoked,Wading,South Australia,"Goolwa Beach, Fleurieu Peninsula",M,37,N,"""a small shark""",small
314,2003.02.11,2003,2,,,Unprovoked,Swimming,New South Wales,"Coogee Bay, near Sydney",M,24,N,Thought to involve a 2 m [6.75'] grey nurse shark,nurse
315,2003.02.08,2003,2,8.0,Morning,Unprovoked,Swimming,Queensland,Burleigh Lake on the Gold Coast,M,84,Y,Thought to involve a >2 m [6.75'] bull shark,bull
